"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","CreateUser_ShouldThrow_WhenUserAlreadyExists","IntegrationTests","Sun Nov 30 18:33:11 UTC 2025","passed","Sun Nov 30 18:33:11 UTC 2025","UserRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.UserRepositoryPostgresTests","CreateUser_ShouldThrow_WhenUserAlreadyExists"
"","1","GetPersonProperties_ShouldThrow_WhenPersonNotFound","UnitTests","Sun Nov 30 18:32:31 UTC 2025","passed","Sun Nov 30 18:32:31 UTC 2025","PropertyRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PropertyRepositoryInMemoryTests","GetPersonProperties_ShouldThrow_WhenPersonNotFound"
"","23","SetRelationship_ShouldThrow_WhenPersonNotFound","UnitTests","Sun Nov 30 18:32:31 UTC 2025","passed","Sun Nov 30 18:32:31 UTC 2025","RelationshipRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.RelationshipRepositoryInMemoryTests","SetRelationship_ShouldThrow_WhenPersonNotFound"
"","7","CreateUser_ShouldCreateSuccessfully","IntegrationTests","Sun Nov 30 18:33:11 UTC 2025","passed","Sun Nov 30 18:33:11 UTC 2025","UserRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.UserRepositoryPostgresTests","CreateUser_ShouldCreateSuccessfully"
"","9","CreateDocument_ShouldThrow_WhenPersonDoesNotExist","UnitTests","Sun Nov 30 18:32:30 UTC 2025","passed","Sun Nov 30 18:32:30 UTC 2025","DocumentRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.DocumentRepositoryInMemoryTests","CreateDocument_ShouldThrow_WhenPersonDoesNotExist"
"","7","CreateDocument_ShouldCreateSuccessfully","UnitTests","Sun Nov 30 18:32:30 UTC 2025","passed","Sun Nov 30 18:32:30 UTC 2025","DocumentRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.DocumentRepositoryInMemoryTests","CreateDocument_ShouldCreateSuccessfully"
"","2","CreatePerson_WithValidData_ReturnsGuid","UnitTests","Sun Nov 30 18:32:31 UTC 2025","passed","Sun Nov 30 18:32:31 UTC 2025","PersonServiceTests+CreatePersonTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+CreatePersonTests","CreatePerson_WithValidData_ReturnsGuid"
"","324","AuthAndChangePassword_FullFlow_WorksCorrectly","IntegrationTests","Sun Nov 30 18:33:09 UTC 2025","failed","Sun Nov 30 18:33:09 UTC 2025","AuthE2ETests","IntegrationTests.Rest","IntegrationTests.Rest.AuthE2ETests","AuthAndChangePassword_FullFlow_WorksCorrectly"
"","7","CreateContact_ShouldCreateSuccessfully","IntegrationTests","Sun Nov 30 18:33:10 UTC 2025","passed","Sun Nov 30 18:33:10 UTC 2025","ContactRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.ContactRepositoryPostgresTests","CreateContact_ShouldCreateSuccessfully"
"","4","GetPersonRelationships_WhenPersonDontExists_ThrowsException","UnitTests","Sun Nov 30 18:32:31 UTC 2025","passed","Sun Nov 30 18:32:31 UTC 2025","PersonServiceTests+GetPersonRelationshipsTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+GetPersonRelationshipsTests","GetPersonRelationships_WhenPersonDontExists_ThrowsException"
