"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 18:07:20 GMT 2025","Tue Oct 21 18:07:20 GMT 2025","3","","","","UnitTests.Repositories.RelationshipRepositoryInMemoryTests","GetPersonsRelationship_ShouldThrow_WhenNotFound","UnitTests.Repositories.RelationshipRepositoryInMemoryTests.GetPersonsRelationship_ShouldThrow_WhenNotFound",""
"passed","Tue Oct 21 18:07:20 GMT 2025","Tue Oct 21 18:07:20 GMT 2025","4","","","","UnitTests.Services.AuthServiceTests","ChangePassword_ValidInput_ChangesPassword","UnitTests.Services.AuthServiceTests.ChangePassword_ValidInput_ChangesPassword",""
"passed","Tue Oct 21 18:07:20 GMT 2025","Tue Oct 21 18:07:20 GMT 2025","3","","","","UnitTests.Services.PersonServiceTests+GetPersonIdByContactTests","WithValidPhone_ReturnsPersonId","UnitTests.Services.PersonServiceTests+GetPersonIdByContactTests.WithValidPhone_ReturnsPersonId",""
"passed","Tue Oct 21 18:07:21 GMT 2025","Tue Oct 21 18:07:21 GMT 2025","1","","","","UnitTests.Repositories.CharacteristicRepositoryInMemoryTests","GetPersonsCharacteristics_ShouldReturnEmpty_WhenNoCharacteristics","UnitTests.Repositories.CharacteristicRepositoryInMemoryTests.GetPersonsCharacteristics_ShouldReturnEmpty_WhenNoCharacteristics",""
"passed","Tue Oct 21 18:07:21 GMT 2025","Tue Oct 21 18:07:21 GMT 2025","5","","","","UnitTests.Repositories.PersonRepositoryInMemoryTests","DeletePerson_ShouldDeleteSuccessfully","UnitTests.Repositories.PersonRepositoryInMemoryTests.DeletePerson_ShouldDeleteSuccessfully",""
"passed","Tue Oct 21 18:07:20 GMT 2025","Tue Oct 21 18:07:20 GMT 2025","0","","","","UnitTests.Services.UserServiceTests","DeleteUser_ShouldCallRepository","UnitTests.Services.UserServiceTests.DeleteUser_ShouldCallRepository",""
"passed","Tue Oct 21 18:07:21 GMT 2025","Tue Oct 21 18:07:21 GMT 2025","2","","","","UnitTests.Repositories.CharacteristicRepositoryInMemoryTests","GetCharacteristicById_ShouldReturnCharacteristic","UnitTests.Repositories.CharacteristicRepositoryInMemoryTests.GetCharacteristicById_ShouldReturnCharacteristic",""
"passed","Tue Oct 21 18:07:21 GMT 2025","Tue Oct 21 18:07:21 GMT 2025","1","","","","UnitTests.Repositories.PersonRepositoryInMemoryTests","CreatePerson_ShouldCreateSuccessfully","UnitTests.Repositories.PersonRepositoryInMemoryTests.CreatePerson_ShouldCreateSuccessfully",""
"passed","Tue Oct 21 18:07:21 GMT 2025","Tue Oct 21 18:07:21 GMT 2025","1","","","","UnitTests.Repositories.UserRepositoryInMemoryTests","DeleteUser_ShouldDeleteSuccessfully","UnitTests.Repositories.UserRepositoryInMemoryTests.DeleteUser_ShouldDeleteSuccessfully",""
"passed","Tue Oct 21 18:07:20 GMT 2025","Tue Oct 21 18:07:20 GMT 2025","52","","","","UnitTests.Services.PersonServiceTests+AddPersonContactTests","WithInvalidEmail_ThrowsValidationException(invalidEmail: ""invalid-email"")","UnitTests.Services.PersonServiceTests+AddPersonContactTests.WithInvalidEmail_ThrowsValidationException(String invalidEmail)",""
