"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","CreatePerson_ShouldThrow_WhenIdAlreadyExists","UnitTests","Sun Nov 30 18:36:22 UTC 2025","passed","Sun Nov 30 18:36:22 UTC 2025","PersonRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PersonRepositoryInMemoryTests","CreatePerson_ShouldThrow_WhenIdAlreadyExists"
"","1","DeletePerson_WithDefaultId_ThrowsArgumentException","UnitTests","Sun Nov 30 18:36:22 UTC 2025","passed","Sun Nov 30 18:36:22 UTC 2025","PersonServiceTests+DeletePersonTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+DeletePersonTests","DeletePerson_WithDefaultId_ThrowsArgumentException"
"","11","WithValidData_CallsRepository","UnitTests","Sun Nov 30 18:36:23 UTC 2025","passed","Sun Nov 30 18:36:23 UTC 2025","PersonServiceTests+AddPersonPropertyTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonPropertyTests","WithValidData_CallsRepository"
"","5","GetPersonDocuments_ShouldThrow_WhenPersonNotFound","IntegrationTests","Sun Nov 30 18:37:05 UTC 2025","passed","Sun Nov 30 18:37:05 UTC 2025","DocumentRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.DocumentRepositoryPostgresTests","GetPersonDocuments_ShouldThrow_WhenPersonNotFound"
"","6","DeleteUser_ShouldThrow_WhenUserNotFound","IntegrationTests","Sun Nov 30 18:37:04 UTC 2025","passed","Sun Nov 30 18:37:04 UTC 2025","UserRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.UserRepositoryPostgresTests","DeleteUser_ShouldThrow_WhenUserNotFound"
"","3","GetPersonsRelationship_ShouldThrow_WhenNotFound","UnitTests","Sun Nov 30 18:36:22 UTC 2025","passed","Sun Nov 30 18:36:22 UTC 2025","RelationshipRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.RelationshipRepositoryInMemoryTests","GetPersonsRelationship_ShouldThrow_WhenNotFound"
"","12","CreateDocument_ShouldCreateSuccessfully","IntegrationTests","Sun Nov 30 18:37:05 UTC 2025","passed","Sun Nov 30 18:37:05 UTC 2025","DocumentRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.DocumentRepositoryPostgresTests","CreateDocument_ShouldCreateSuccessfully"
"","43","SetRelationship_ShouldUpdateExistingRelationship","IntegrationTests","Sun Nov 30 18:37:02 UTC 2025","passed","Sun Nov 30 18:37:02 UTC 2025","RelationshipRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.RelationshipRepositoryPostgresTests","SetRelationship_ShouldUpdateExistingRelationship"
"","1","GetPerson_ShouldThrow_WhenNotFound","UnitTests","Sun Nov 30 18:36:22 UTC 2025","passed","Sun Nov 30 18:36:22 UTC 2025","PersonRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PersonRepositoryInMemoryTests","GetPerson_ShouldThrow_WhenNotFound"
"","1","DeleteProperty_ShouldThrow_WhenPropertyNotFound","UnitTests","Sun Nov 30 18:36:23 UTC 2025","passed","Sun Nov 30 18:36:23 UTC 2025","PropertyRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PropertyRepositoryInMemoryTests","DeleteProperty_ShouldThrow_WhenPropertyNotFound"
"","24","GetPersonIdByContact_ShouldReturnPerson","IntegrationTests","Sun Nov 30 18:37:01 UTC 2025","passed","Sun Nov 30 18:37:01 UTC 2025","ContactRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.ContactRepositoryPostgresTests","GetPersonIdByContact_ShouldReturnPerson"
"","54","CreatePerson_WhenPersonExists_ThrowsPersonAlreadyExistsException","UnitTests","Sun Nov 30 18:36:20 UTC 2025","passed","Sun Nov 30 18:36:20 UTC 2025","PersonServiceTests+CreatePersonTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+CreatePersonTests","CreatePerson_WhenPersonExists_ThrowsPersonAlreadyExistsException"
"","3","ChangePersonGeneralInfo_WithValidData_CallsRepository","UnitTests","Sun Nov 30 18:36:22 UTC 2025","passed","Sun Nov 30 18:36:22 UTC 2025","PersonServiceTests+ChangePersonGeneralInfoTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+ChangePersonGeneralInfoTests","ChangePersonGeneralInfo_WithValidData_CallsRepository"
"","1","GetPersonProperties_ShouldReturnEmpty_WhenNoProperties","UnitTests","Sun Nov 30 18:36:23 UTC 2025","passed","Sun Nov 30 18:36:23 UTC 2025","PropertyRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PropertyRepositoryInMemoryTests","GetPersonProperties_ShouldReturnEmpty_WhenNoProperties"
"","22","CreateProperty_ShouldThrow_WhenPersonDoesNotExist","IntegrationTests","Sun Nov 30 18:37:00 UTC 2025","passed","Sun Nov 30 18:37:00 UTC 2025","PropertyRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PropertyRepositoryPostgresTests","CreateProperty_ShouldThrow_WhenPersonDoesNotExist"
"","11","DeleteContact_ShouldThrowException_WhenContactDoesNotExist","IntegrationTests","Sun Nov 30 18:37:02 UTC 2025","passed","Sun Nov 30 18:37:02 UTC 2025","ContactRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.ContactRepositoryPostgresTests","DeleteContact_ShouldThrowException_WhenContactDoesNotExist"
"","19","GetPersonContacts_ShouldThrowException_WhenPersonDoesNotExist","IntegrationTests","Sun Nov 30 18:37:01 UTC 2025","passed","Sun Nov 30 18:37:01 UTC 2025","ContactRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.ContactRepositoryPostgresTests","GetPersonContacts_ShouldThrowException_WhenPersonDoesNotExist"
"","7","CreateProperty_ShouldThrow_WhenPropertyAlreadyExists","IntegrationTests","Sun Nov 30 18:37:01 UTC 2025","passed","Sun Nov 30 18:37:01 UTC 2025","PropertyRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PropertyRepositoryPostgresTests","CreateProperty_ShouldThrow_WhenPropertyAlreadyExists"
"","7","CreateUser_ShouldCreateSuccessfully","IntegrationTests","Sun Nov 30 18:37:04 UTC 2025","passed","Sun Nov 30 18:37:04 UTC 2025","UserRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.UserRepositoryPostgresTests","CreateUser_ShouldCreateSuccessfully"
"","10","WithValidId_CallsRepository","UnitTests","Sun Nov 30 18:36:20 UTC 2025","passed","Sun Nov 30 18:36:20 UTC 2025","PersonServiceTests+DeletePersonDocumentTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+DeletePersonDocumentTests","WithValidId_CallsRepository"
